iter	Passed	Remaining
0	57	56954
1	57	28765
2	58	19445
3	59	14808
4	60	12002
5	61	10142
6	61	8771
7	62	7757
8	63	7007
9	64	6372
10	64	5803
11	65	5370
12	65	5009
13	66	4707
14	67	4437
15	68	4205
16	69	4010
17	70	3848
18	71	3706
19	72	3547
20	73	3408
21	73	3279
22	74	3158
23	74	3047
24	75	2945
25	76	2856
26	76	2766
27	77	2690
28	78	2619
29	79	2557
30	79	2499
31	80	2446
32	81	2397
33	82	2347
34	83	2297
35	84	2265
36	85	2218
37	85	2173
38	86	2130
39	87	2100
40	88	2062
41	88	2028
42	89	1994
43	90	1961
44	90	1930
45	91	1900
46	92	1870
47	93	1845
48	93	1816
49	94	1796
50	94	1766
51	95	1740
52	95	1715
53	96	1694
54	97	1672
55	98	1658
56	98	1635
57	99	1619
58	100	1599
59	100	1581
60	101	1564
61	102	1549
62	103	1535
63	104	1523
64	104	1506
65	105	1488
66	106	1477
67	106	1461
68	107	1446
69	108	1443
70	109	1431
71	110	1419
72	110	1406
73	111	1394
74	112	1381
75	112	1368
76	113	1357
77	113	1345
78	114	1335
79	115	1325
80	115	1313
81	116	1301
82	116	1290
83	117	1283
84	118	1273
85	118	1261
86	119	1250
87	119	1241
88	120	1234
89	121	1225
90	121	1216
91	122	1210
92	123	1204
93	124	1196
94	125	1192
95	125	1184
96	126	1180
97	127	1172
98	127	1163
99	128	1160
100	129	1152
101	130	1145
102	131	1141
103	132	1137
104	133	1135
105	134	1133
106	134	1126
107	135	1119
108	136	1116
109	136	1108
110	137	1101
111	138	1095
112	138	1090
113	139	1083
114	140	1079
115	140	1073
116	141	1067
117	141	1060
118	142	1056
119	143	1049
120	143	1042
121	144	1036
122	144	1031
123	145	1029
124	146	1024
125	146	1019
126	147	1014
127	148	1009
128	149	1006
129	149	1001
130	150	999
131	151	995
132	152	992
133	153	990
134	153	985
135	154	980
136	154	976
137	155	971
138	156	967
139	156	962
140	157	957
141	157	952
142	158	949
143	159	945
144	159	943
145	160	941
146	161	936
147	162	934
148	162	930
149	163	927
150	164	925
151	165	922
152	166	920
153	167	919
154	168	918
155	168	914
156	169	910
157	169	905
158	170	902
159	171	899
160	172	897
161	172	893
162	173	892
163	174	889
164	175	886
165	175	882
166	176	879
167	177	878
168	177	873
169	178	869
170	178	867
171	179	863
172	179	860
173	180	856
174	181	853
175	181	850
176	182	848
177	183	845
178	183	842
179	184	842
180	185	839
181	186	837
182	187	835
183	187	831
184	187	827
185	188	825
186	189	822
187	189	820
188	190	816
189	190	813
190	191	810
191	191	807
192	192	804
193	193	802
194	193	798
195	194	797
196	194	793
197	195	792
198	196	789
199	196	786
200	197	784
201	198	783
202	198	779
203	199	777
204	199	774
205	200	773
206	201	770
207	201	768
208	202	766
209	203	763
210	203	761
211	204	759
212	204	757
213	205	754
214	206	752
215	206	750
216	207	748
217	207	746
218	208	743
219	209	742
220	209	739
221	210	737
222	211	736
223	211	734
224	212	732
225	213	729
226	213	726
227	214	725
228	215	725
229	216	724
230	217	722
231	217	721
232	218	720
233	219	717
234	220	716
235	220	714
236	221	712
237	221	710
238	222	708
239	223	707
240	224	706
241	224	703
242	225	701
243	225	699
244	226	698
245	227	697
246	228	695
247	228	693
248	229	691
249	229	689
250	230	687
251	231	686
252	231	683
253	232	682
254	233	680
255	233	679
256	234	677
257	235	676
258	235	674
259	236	672
260	236	670
261	237	669
262	238	667
263	239	666
264	239	665
265	240	663
266	241	662
267	241	659
268	242	657
269	242	656
270	243	655
271	244	653
272	244	652
273	245	650
274	245	648
275	246	647
276	248	647
277	248	645
278	249	644
279	249	642
280	250	641
281	251	640
282	252	638
283	252	636
284	252	634
285	253	633
286	254	631
287	254	629
288	255	628
289	256	626
290	256	625
291	257	623
292	257	622
293	258	620
294	259	619
295	259	617
296	260	616
297	260	614
298	261	612
299	262	612
300	263	611
301	263	610
302	264	608
303	265	607
304	266	606
305	266	605
306	267	603
307	268	602
308	268	600
309	269	599
310	269	597
311	270	596
312	271	595
313	272	594
314	272	593
315	273	591
316	274	590
317	274	589
318	275	587
319	275	586
320	276	584
321	276	582
322	277	581
323	278	580
324	279	579
325	280	579
326	280	577
327	280	575
328	281	573
329	281	572
330	282	570
331	283	570
332	284	569
333	284	567
334	285	566
335	286	565
336	286	564
337	287	563
338	288	562
339	289	561
340	289	559
341	290	558
342	290	557
343	291	556
344	292	556
345	293	554
346	294	553
347	295	553
348	295	551
349	296	551
350	297	549
351	297	548
352	298	547
353	299	546
354	299	545
355	300	543
356	301	542
357	302	541
358	302	540
359	303	539
360	303	537
361	304	536
362	305	536
363	306	534
364	306	533
365	307	532
366	308	531
367	308	529
368	308	528
369	309	526
370	309	525
371	311	525
372	311	524
373	312	522
374	312	521
375	313	520
376	314	519
377	315	518
378	315	516
379	315	514
380	316	513
381	316	512
382	317	511
383	318	511
384	319	510
385	320	509
386	321	508
387	321	507
388	322	506
389	323	505
390	324	504
391	324	503
392	325	502
393	326	501
394	326	500
395	327	499
396	328	498
397	328	497
398	329	496
399	330	495
400	330	494
401	331	493
402	332	492
403	333	491
404	333	490
405	334	489
406	335	488
407	335	487
408	336	485
409	337	485
410	337	484
411	338	483
412	339	482
413	340	481
414	340	480
415	341	478
416	341	477
417	342	476
418	343	475
419	343	475
420	344	473
421	345	472
422	345	471
423	346	470
424	346	469
425	347	468
426	348	467
427	348	466
428	349	465
429	350	463
430	350	463
431	351	462
432	352	461
433	353	460
434	353	459
435	354	458
436	354	457
437	355	456
438	356	455
439	357	454
440	357	453
441	358	452
442	359	451
443	359	450
444	360	449
445	360	448
446	361	447
447	362	446
448	363	445
449	364	445
450	364	444
451	365	442
452	365	441
453	366	440
454	366	439
455	367	438
456	367	437
457	368	435
458	368	434
459	369	433
460	369	432
4462	371	4304463	371	429463	371	429
4465	372	427465	372	427
466	373	426
4468	374	4244469	375	4234470	377	423
471	377	4224472	378	4214473	378	420473	378	420
474	379	419
475	380	419
476	381	418
477	381	417
478	382	416
479	383	415
480	384	414
481	385	413
482	386	413
483	387	412
484	387	411
485	389	411
486	389	410
487	390	409
488	391	408
489	392	408
490	393	407
491	393	406
492	394	405
493	394	404
494	395	403
495	396	402
496	396	401
497	397	400
498	398	399
499	398	398
500	399	398
501	400	397
502	400	396
503	401	395
504	402	394
505	402	393
506	403	392
507	404	391
508	404	390
509	405	389
510	406	388
511	406	387
512	407	386
513	407	385
514	408	384
515	408	383
516	409	382
517	410	381
518	410	380
519	411	379
520	412	379
521	413	378
522	413	377
523	414	376
524	415	376
525	416	375
526	417	374
527	417	373
528	418	372
529	418	371
530	419	370
531	420	369
532	420	368
533	421	367
534	422	366
535	422	365
536	423	365
537	424	364
538	424	363
539	425	362
540	425	361
541	426	360
542	427	359
543	428	359
544	429	358
545	429	357
546	430	356
547	431	355
548	432	354
549	433	354
550	433	353
551	434	352
552	434	351
553	435	350
554	435	349
555	436	348
556	437	347
557	437	346
558	438	345
559	438	344
560	439	344
561	440	343
562	441	342
563	441	341
564	442	340
565	442	339
566	443	338
567	443	337
568	444	336
569	444	335
570	445	334
571	445	333
572	446	332
573	447	332
574	447	331
575	448	330
576	449	329
577	449	328
578	450	327
579	450	326
580	451	325
581	452	325
582	453	324
583	454	323
584	455	323
585	456	322
586	457	321
587	457	320
588	458	319
589	458	318
590	459	317
591	460	317
592	461	316
593	461	315
594	462	314
595	463	314
596	464	313
597	464	312
598	465	311
599	465	310
600	466	309
601	467	308
602	467	308
603	468	307
604	469	306
605	469	305
606	470	304
607	471	303
608	472	303
609	472	302
610	473	301
611	474	300
612	474	299
613	475	298
614	476	298
615	476	297
616	477	296
617	477	295
618	477	294
619	478	293
620	478	292
621	479	291
622	480	290
623	481	290
624	481	289
625	482	288
626	483	287
627	484	286
628	484	285
629	484	284
630	485	284
631	486	283
632	486	282
633	488	281
634	489	281
635	489	280
636	490	279
637	491	278
638	492	277
639	492	277
640	493	276
641	494	275
642	494	274
643	495	274
644	496	273
645	497	272
646	498	272
647	499	271
648	500	270
649	500	269
650	501	268
651	502	268
652	502	267
653	503	266
654	504	265
655	504	264
656	505	264
657	506	263
658	507	262
659	507	261
660	508	260
661	509	259
662	509	259
663	510	258
664	511	257
665	511	256
666	512	255
667	512	254
668	513	253
669	513	252
670	513	251
671	514	251
672	514	250
673	515	249
674	515	248
675	516	247
676	516	246
677	517	245
678	518	245
679	519	244
680	519	243
681	520	242
682	520	241
683	521	241
684	522	240
685	523	239
686	524	239
687	525	238
688	526	237
689	527	236
690	528	236
691	528	235
692	529	234
693	529	233
694	530	232
695	531	232
696	532	231
697	532	230
698	533	229
699	533	228
700	534	228
701	535	227
702	536	226
703	536	225
704	537	224
705	537	223
706	538	223
707	538	222
708	539	221
709	540	220
710	541	219
711	542	219
712	543	218
713	544	217
714	544	217
715	545	216
716	545	215
717	546	214
718	547	213
719	548	213
720	548	212
721	549	211
722	550	210
723	550	209
724	551	209
725	552	208
726	553	207
727	554	207
728	555	206
729	555	205
730	556	204
731	557	204
732	557	203
733	558	202
734	559	201
735	560	200
736	560	200
737	561	199
738	561	198
739	561	197
740	562	196
741	563	195
742	564	195
743	564	194
744	565	193
745	566	192
746	566	192
747	567	191
748	568	190
749	569	189
750	570	188
751	570	188
752	571	187
753	571	186
754	572	185
755	572	184
756	573	184
757	573	183
758	574	182
759	575	181
760	576	180
761	576	180
762	577	179
763	578	178
764	578	177
765	579	177
766	580	176
767	580	175
768	581	174
769	581	173
770	582	173
771	583	172
772	584	171
773	584	170
774	585	170
775	586	169
776	586	168
777	587	167
778	588	166
779	588	166
780	589	165
781	590	164
782	591	163
783	591	163
784	592	162
785	593	161
786	593	160
787	594	159
788	595	159
789	596	158
790	596	157
791	597	156
792	598	156
793	599	155
794	600	154
795	601	154
796	601	153
797	602	152
798	602	151
799	603	150
800	603	150
801	605	149
802	605	148
803	606	147
804	607	147
805	608	146
806	609	145
807	610	144
808	610	144
809	611	143
810	612	142
811	612	141
812	613	141
813	613	140
814	614	139
815	614	138
816	615	137
817	616	137
818	617	136
819	617	135
820	618	134
821	618	134
822	619	133
823	620	132
824	620	131
825	621	130
826	622	130
827	622	129
828	623	128
829	624	127
830	624	127
831	625	126
832	626	125
833	627	124
834	628	124
835	628	123
836	629	122
837	630	121
838	631	121
839	631	120
840	632	119
841	633	118
842	633	118
843	634	117
844	635	116
845	635	115
846	636	115
847	637	114
848	638	113
849	638	112
850	639	111
851	639	111
852	640	110
853	640	109
854	641	108
855	642	108
856	642	107
857	643	106
858	644	105
859	645	105
860	645	104
861	646	103
862	647	102
863	647	101
864	648	101
865	649	100
866	650	99
867	651	99
868	651	98
869	652	97
870	653	96
871	653	95
872	654	95
873	655	94
874	655	93
875	656	92
876	657	92
877	658	91
878	658	90
879	659	89
880	660	89
881	660	88
882	661	87
883	661	86
